path	records	elections	subject	sensitivity	public	note
normalized.politines-kampanijos-dalyvio-duomenys[].izdininkas.vardas-pavarde	18888	32	third-party	identifying	ship	the treasurer / auditor by name (790 people)
normalized.politines-kampanijos-dalyvio-duomenys[].kontaktai	4	1	candidate	public-record	ship	the campaign registration: status, dates, decision numbers
normalized.politines-kampanijos-dalyvio-duomenys[].kontaktai.el-pastas	20195	31	third-party	contact	conditional	the campaign's contact line; the treasurer's own phone and e-mail on 93 of 105 sampled 2016 records, so dropped by the public profile where it repeats one
normalized.politines-kampanijos-dalyvio-duomenys[].kontaktai.telefonas-pasiteirauti	20195	31	third-party	contact	conditional	the campaign's contact line; the treasurer's own phone and e-mail on 93 of 105 sampled 2016 records, so dropped by the public profile where it repeats one
normalized.politines-kampanijos-dalyvio-duomenys[].registravimo-data	20199	32	candidate	public-record	ship	the campaign registration: status, dates, decision numbers
normalized.politines-kampanijos-dalyvio-duomenys[].sprendimai[]	19950	32	none	public-record	ship	contracts, funding reports and VRK decisions as filed
normalized.politines-kampanijos-dalyvio-duomenys[].sprendimai[].date	249	13	none	public-record	ship	contracts, funding reports and VRK decisions as filed
normalized.politines-kampanijos-dalyvio-duomenys[].sprendimai[].note	249	13	none	public-record	ship	contracts, funding reports and VRK decisions as filed
normalized.politines-kampanijos-dalyvio-duomenys[].sprendimai[].number	249	13	none	public-record	ship	contracts, funding reports and VRK decisions as filed
normalized.politines-kampanijos-dalyvio-duomenys[].sprendimai[].rowNumber	249	13	none	public-record	ship	contracts, funding reports and VRK decisions as filed
normalized.politines-kampanijos-dalyvio-duomenys[].sprendimai[].title	249	13	none	public-record	ship	contracts, funding reports and VRK decisions as filed
normalized.politines-kampanijos-dalyvio-duomenys[].sprendimai[].urls[]	249	13	none	public-record	ship	contracts, funding reports and VRK decisions as filed
normalized.politines-kampanijos-dalyvio-duomenys[].sprendimo-numeris	20199	32	candidate	public-record	ship	the campaign registration: status, dates, decision numbers
normalized.politines-kampanijos-dalyvio-duomenys[].statusas	20199	32	candidate	public-record	ship	the campaign registration: status, dates, decision numbers
normalized.politines-kampanijos-dalyvio-duomenys[].sutartys[]	6088	29	none	public-record	ship	contracts, funding reports and VRK decisions as filed
normalized.politines-kampanijos-dalyvio-duomenys[].sutartys[].agreementDate	14111	28	none	public-record	ship	contracts, funding reports and VRK decisions as filed
normalized.politines-kampanijos-dalyvio-duomenys[].sutartys[].agreementNumber	14111	28	none	public-record	ship	contracts, funding reports and VRK decisions as filed
normalized.politines-kampanijos-dalyvio-duomenys[].sutartys[].counterparty	14111	28	third-party	organisation	ship	the contract counterparty (an agency, a printer, a broadcaster)
normalized.politines-kampanijos-dalyvio-duomenys[].sutartys[].rowNumber	14111	28	none	public-record	ship	contracts, funding reports and VRK decisions as filed
normalized.politines-kampanijos-dalyvio-duomenys[].sutartys[].subject	14111	28	none	public-record	ship	contracts, funding reports and VRK decisions as filed
normalized.politines-kampanijos-dalyvio-duomenys[].sutartys[].textAccessNote	14111	28	none	public-record	ship	contracts, funding reports and VRK decisions as filed
normalized.politines-kampanijos-dalyvio-duomenys[].sutartys[].textUrls[]	14111	28	none	public-record	ship	contracts, funding reports and VRK decisions as filed
normalized.privaciu-interesu-deklaracija	561	11	none	technical	ship	an empty section: the key exists and holds nothing on this record
normalized.privaciu-interesu-deklaracija.darboviete-ir-pareigos-valstybineje-tarnyboje	18296	6	candidate	biographical	ship	the declarant's employers, positions, memberships and activities
normalized.privaciu-interesu-deklaracija.deklaruojancio-asmens-sutuoktinis-partneris.darboviete-es-pareigos	16399	1	family	biographical	ship	the spouse's or partner's employer and position
normalized.privaciu-interesu-deklaracija.deklaruojancio-asmens-sutuoktinis-partneris.pavarde	16694	5	family	identifying	ship	the spouse's or partner's name
normalized.privaciu-interesu-deklaracija.deklaruojancio-asmens-sutuoktinis-partneris.vardas	16694	5	family	identifying	ship	the spouse's or partner's name
normalized.privaciu-interesu-deklaracija.deklaruojancio-asmens-sutuoktinis-partneris.visos-darbovietes-ir-pareigos	295	4	family	biographical	ship	the spouse's or partner's employer and position
normalized.privaciu-interesu-deklaracija.deklaruojancio-asmens-sutuoktinis-sugyventinis-partneris.pavarde	35094	20	family	identifying	ship	the spouse's or partner's name
normalized.privaciu-interesu-deklaracija.deklaruojancio-asmens-sutuoktinis-sugyventinis-partneris.sutuoktinio-sugyventinio-partnerio-darboviete-kitos-darbovietes-nurodomos-id001j-priede	35094	20	family	biographical	ship	the spouse's or partner's employer and position
normalized.privaciu-interesu-deklaracija.deklaruojancio-asmens-sutuoktinis-sugyventinis-partneris.vardas	35094	20	family	identifying	ship	the spouse's or partner's name
normalized.privaciu-interesu-deklaracija.deklaruojancio-darbovietes[].darbdavys	12442	10	third-party	organisation	ship	the legal person or place named in the entry (a counterparty can also be a natural person)
normalized.privaciu-interesu-deklaracija.deklaruojancio-darbovietes[].darboviete	10666	5	third-party	organisation	ship	the legal person or place named in the entry (a counterparty can also be a natural person)
normalized.privaciu-interesu-deklaracija.deklaruojancio-darbovietes[].juridinio-asmens-kodas	11813	10	third-party	organisation	ship	the legal person or place named in the entry (a counterparty can also be a natural person)
normalized.privaciu-interesu-deklaracija.deklaruojancio-darbovietes[].juridinio-asmens-teisine-forma	11813	10	third-party	organisation	ship	the legal person or place named in the entry (a counterparty can also be a natural person)
normalized.privaciu-interesu-deklaracija.deklaruojancio-darbovietes[].pareigos	12442	10	candidate	biographical	ship	the declarant's employers, positions, memberships and activities
normalized.privaciu-interesu-deklaracija.deklaruojancio-darbovietes[].pareigu-pobudis	12442	10	none	technical	ship	a selector or category: whose entry it is, what kind
normalized.privaciu-interesu-deklaracija.deklaruojancio-darbovietes[].pavadinimas	12442	10	third-party	organisation	ship	the legal person or place named in the entry (a counterparty can also be a natural person)
normalized.privaciu-interesu-deklaracija.deklaruojancio-darbovietes[].registracijos-salis	11877	10	third-party	organisation	ship	the legal person or place named in the entry (a counterparty can also be a natural person)
normalized.privaciu-interesu-deklaracija.deklaruojancio-darbovietes[].rysio-pradzios-data	12442	10	candidate	biographical	ship	the declarant's employers, positions, memberships and activities
normalized.privaciu-interesu-deklaracija.deklaruojanciojo-asmens-sutuoktinis-partneris.darboviete-es-pareigos	1602	1	family	biographical	ship	the spouse's or partner's employer and position
normalized.privaciu-interesu-deklaracija.deklaruojanciojo-asmens-sutuoktinis-partneris.pavarde	1602	1	family	identifying	ship	the spouse's or partner's name
normalized.privaciu-interesu-deklaracija.deklaruojanciojo-asmens-sutuoktinis-partneris.vardas	1602	1	family	identifying	ship	the spouse's or partner's name
normalized.privaciu-interesu-deklaracija.deklaruojantis-asmuo	67696	35	candidate	identifying	ship	the declarant's name
normalized.privaciu-interesu-deklaracija.deklaruojantysis-asmuo	1602	1	candidate	identifying	ship	the declarant's name
normalized.privaciu-interesu-deklaracija.id001a	3	2	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.id001a.tekstas	1111	18	none	technical	ship	
normalized.privaciu-interesu-deklaracija.id001f[].asmuo-kurio-rysys-bus-nurodomas	1978	19	none	technical	ship	a selector or category: whose entry it is, what kind
normalized.privaciu-interesu-deklaracija.id001f[].duomenys-ir-aplinkybes-del-kuriu-gali-kilti-interesu-konfliktas	1978	19	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.id001f[].rysiais-susieto-asmens-pilietybe	1978	19	third-party	identifying	ship	a natural person named in the declaration: a relative, a counterparty, a gift giver, a source of a possible conflict
normalized.privaciu-interesu-deklaracija.id001f[].vardas-ir-pavarde	1060	10	third-party	identifying	ship	a natural person named in the declaration: a relative, a counterparty, a gift giver, a source of a possible conflict
normalized.privaciu-interesu-deklaracija.id001f[].vardas-pavarde	918	9	third-party	identifying	ship	a natural person named in the declaration: a relative, a counterparty, a gift giver, a source of a possible conflict
normalized.privaciu-interesu-deklaracija.id001i[].asmuo-kurio-individuali-veikla-bus-nurodoma	3225	10	none	technical	ship	a selector or category: whose entry it is, what kind
normalized.privaciu-interesu-deklaracija.id001i[].asmuo-kurio-individuali-veikla-toliau-bus-nurodoma	3258	9	none	technical	ship	a selector or category: whose entry it is, what kind
normalized.privaciu-interesu-deklaracija.id001i[].individualios-veiklos-pabaigos-data-jei-nepasibaige-pildyti-nereikia	6483	19	candidate	biographical	ship	the declarant's employers, positions, memberships and activities
normalized.privaciu-interesu-deklaracija.id001i[].individualios-veiklos-pradzia	6483	19	candidate	biographical	ship	the declarant's employers, positions, memberships and activities
normalized.privaciu-interesu-deklaracija.id001i[].individualios-veiklos-rusis	6483	19	candidate	biographical	ship	the declarant's employers, positions, memberships and activities
normalized.privaciu-interesu-deklaracija.id001i[].papildomi-duomenys-apie-individualia-veikla	6483	19	candidate	biographical	ship	the declarant's employers, positions, memberships and activities
normalized.privaciu-interesu-deklaracija.id001j[].asmuo-kurio-rysys-bus-nurodytas	22300	20	none	technical	ship	a selector or category: whose entry it is, what kind
normalized.privaciu-interesu-deklaracija.id001j[].juridinio-asmens-kodas	22300	20	third-party	organisation	ship	the legal person or place named in the entry (a counterparty can also be a natural person)
normalized.privaciu-interesu-deklaracija.id001j[].juridinio-asmens-pavadinimas	22300	20	third-party	organisation	ship	the legal person or place named in the entry (a counterparty can also be a natural person)
normalized.privaciu-interesu-deklaracija.id001j[].kiti-rysiai	22300	20	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.id001j[].rysio-pabaigos-data	22300	20	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.id001j[].rysio-pradzios-data	22300	20	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.id001j[].rysys-su-juridiniu-asmeniu	22300	20	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.id001j[].valstybe	22300	20	third-party	organisation	ship	the legal person or place named in the entry (a counterparty can also be a natural person)
normalized.privaciu-interesu-deklaracija.id001p[].asmuo-kurio-rysys-toliau-bus-nurodomas	82	3	none	technical	ship	a selector or category: whose entry it is, what kind
normalized.privaciu-interesu-deklaracija.id001p[].juridinio-asmens-kodas	82	3	third-party	organisation	ship	the legal person or place named in the entry (a counterparty can also be a natural person)
normalized.privaciu-interesu-deklaracija.id001p[].juridinio-asmens-pavadinimas-fizinio-asmens-vardas-pavarde	82	3	third-party	organisation	ship	the legal person or place named in the entry (a counterparty can also be a natural person)
normalized.privaciu-interesu-deklaracija.id001p[].pastabos-pildoma-kai-rysys-laukelyje-pasirenkama-kita-arba-asmuo-nori-detalizuoti-rysi	82	3	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.id001p[].rysio-data	82	3	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.id001p[].rysys	82	3	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.id001p[].valstybe	82	3	third-party	organisation	ship	the legal person or place named in the entry (a counterparty can also be a natural person)
normalized.privaciu-interesu-deklaracija.id001s[].kita-sandorio-salis	6745	20	third-party	organisation	ship	the legal person or place named in the entry (a counterparty can also be a natural person)
normalized.privaciu-interesu-deklaracija.id001s[].kitos-sandorio-salies-pavadinimas	6745	20	third-party	organisation	ship	the legal person or place named in the entry (a counterparty can also be a natural person)
normalized.privaciu-interesu-deklaracija.id001s[].sandori-sudares-asmuo	6745	20	none	technical	ship	a selector or category: whose entry it is, what kind
normalized.privaciu-interesu-deklaracija.id001s[].sandorio-forma	6745	20	none	technical	ship	a selector or category: whose entry it is, what kind
normalized.privaciu-interesu-deklaracija.id001s[].sandorio-objekto-pavadinimas	6745	20	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.id001s[].sandorio-pabaigos-data	6745	20	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.id001s[].sandorio-salies-kodas	6745	20	third-party	organisation	ship	the legal person or place named in the entry (a counterparty can also be a natural person)
normalized.privaciu-interesu-deklaracija.id001s[].sandorio-sudarymo-data	6745	20	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.id001s[].sandorio-suma	3483	10	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.id001s[].sandorio-suma-lt	3262	10	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.id001s[].sandorio-suma-valiuta	3483	10	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.id001s[].sandoris	6745	20	none	technical	ship	a selector or category: whose entry it is, what kind
normalized.privaciu-interesu-deklaracija.ii-dalyvavimas-juridiniuose-asmenyse[].dalyvavimo-budas	2873	5	none	technical	ship	a selector or category: whose entry it is, what kind
normalized.privaciu-interesu-deklaracija.ii-dalyvavimas-juridiniuose-asmenyse[].juridinio-asmens-kodas-registre	2873	5	third-party	organisation	ship	the legal person or place named in the entry (a counterparty can also be a natural person)
normalized.privaciu-interesu-deklaracija.ii-dalyvavimas-juridiniuose-asmenyse[].juridinio-asmens-teisine-forma-pavadinimas	2873	5	third-party	organisation	ship	the legal person or place named in the entry (a counterparty can also be a natural person)
normalized.privaciu-interesu-deklaracija.ii-dalyvavimas-juridiniuose-asmenyse[].tipas	2873	5	none	technical	ship	a selector or category: whose entry it is, what kind
normalized.privaciu-interesu-deklaracija.ii-turtas[].isigijimo-budas	12795	3	none	technical	ship	a selector or category: whose entry it is, what kind
normalized.privaciu-interesu-deklaracija.ii-turtas[].tipas	12795	3	none	technical	ship	a selector or category: whose entry it is, what kind
normalized.privaciu-interesu-deklaracija.ii-turtas[].vienetu-skaicius	12795	3	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.ii-turtas[].vietoves-pavadinimas	12795	3	third-party	organisation	ship	the legal person or place named in the entry (a counterparty can also be a natural person)
normalized.privaciu-interesu-deklaracija.iii-individuali-veikla[].tipas	1982	4	none	technical	ship	a selector or category: whose entry it is, what kind
normalized.privaciu-interesu-deklaracija.iii-individuali-veikla[].veiklos-apibudinimas	1982	4	candidate	biographical	ship	the declarant's employers, positions, memberships and activities
normalized.privaciu-interesu-deklaracija.iii-individuali-veikla[].veiklos-pradzios-data	1982	4	candidate	biographical	ship	the declarant's employers, positions, memberships and activities
normalized.privaciu-interesu-deklaracija.iii-pajamos[].pajamu-saltinio-pavadinimas	13927	3	third-party	organisation	ship	the legal person or place named in the entry (a counterparty can also be a natural person)
normalized.privaciu-interesu-deklaracija.iii-pajamos[].tipas	13927	3	none	technical	ship	a selector or category: whose entry it is, what kind
normalized.privaciu-interesu-deklaracija.iv-naryste-pareigos-imonese-istaigose-asociacijose-ar-fonduose[].juridinio-asmens-kodas-registre	3257	5	third-party	organisation	ship	the legal person or place named in the entry (a counterparty can also be a natural person)
normalized.privaciu-interesu-deklaracija.iv-naryste-pareigos-imonese-istaigose-asociacijose-ar-fonduose[].juridinio-asmens-teisine-forma-pavadinimas	3257	5	third-party	organisation	ship	the legal person or place named in the entry (a counterparty can also be a natural person)
normalized.privaciu-interesu-deklaracija.iv-naryste-pareigos-imonese-istaigose-asociacijose-ar-fonduose[].naryste-pareigos-veiklos-apibudinimas	3257	5	candidate	biographical	ship	the declarant's employers, positions, memberships and activities
normalized.privaciu-interesu-deklaracija.iv-naryste-pareigos-imonese-istaigose-asociacijose-ar-fonduose[].tipas	3257	5	none	technical	ship	a selector or category: whose entry it is, what kind
normalized.privaciu-interesu-deklaracija.iv-vertybiniai-popieriai[].juridinio-asmens-pavadinimas	3094	3	third-party	organisation	ship	the legal person or place named in the entry (a counterparty can also be a natural person)
normalized.privaciu-interesu-deklaracija.iv-vertybiniai-popieriai[].tipas	3094	3	none	technical	ship	a selector or category: whose entry it is, what kind
normalized.privaciu-interesu-deklaracija.ix-kiti-duomenys-del-kuriu-gali-kilti-interesu-konfliktas[].aprasymas	65	2	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.ix-kiti-duomenys-del-kuriu-gali-kilti-interesu-konfliktas[].tipas	65	2	none	technical	ship	a selector or category: whose entry it is, what kind
normalized.privaciu-interesu-deklaracija.ix-naryste-pareigos-ir-rysiai-su-imonemis-istaigomis-bendrijomis-fondais-ar-asociacijomis-taip-pat-ir-tarptautinemis[].naryste-pareigos-ar-rysiai	2561	3	candidate	biographical	ship	the declarant's employers, positions, memberships and activities
normalized.privaciu-interesu-deklaracija.ix-naryste-pareigos-ir-rysiai-su-imonemis-istaigomis-bendrijomis-fondais-ar-asociacijomis-taip-pat-ir-tarptautinemis[].organizacijos-pavadinimas	2561	3	candidate	biographical	ship	the declarant's employers, positions, memberships and activities
normalized.privaciu-interesu-deklaracija.ix-naryste-pareigos-ir-rysiai-su-imonemis-istaigomis-bendrijomis-fondais-ar-asociacijomis-taip-pat-ir-tarptautinemis[].tipas	2561	3	none	technical	ship	a selector or category: whose entry it is, what kind
normalized.privaciu-interesu-deklaracija.kiti-duomenys[]	29	2	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.kiti-duomenys[].tekstas	889	7	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.kitos-darbovietes-pareigos	1602	1	candidate	biographical	ship	the declarant's employers, positions, memberships and activities
normalized.privaciu-interesu-deklaracija.pateikimo-data	15908	10	none	technical	ship	
normalized.privaciu-interesu-deklaracija.rysiai-su-juridiniais-asmenimis[].juridinio-asmens-kodas	6977	10	third-party	organisation	ship	the legal person or place named in the entry (a counterparty can also be a natural person)
normalized.privaciu-interesu-deklaracija.rysiai-su-juridiniais-asmenimis[].juridinio-asmens-pavadinimas	6981	10	third-party	organisation	ship	the legal person or place named in the entry (a counterparty can also be a natural person)
normalized.privaciu-interesu-deklaracija.rysiai-su-juridiniais-asmenimis[].juridinio-asmens-teisine-forma	6981	10	third-party	organisation	ship	the legal person or place named in the entry (a counterparty can also be a natural person)
normalized.privaciu-interesu-deklaracija.rysiai-su-juridiniais-asmenimis[].kieno-rysys	6981	10	none	technical	ship	a selector or category: whose entry it is, what kind
normalized.privaciu-interesu-deklaracija.rysiai-su-juridiniais-asmenimis[].papildomos-pastabos	288	8	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.rysiai-su-juridiniais-asmenimis[].registracijos-salis	6981	10	third-party	organisation	ship	the legal person or place named in the entry (a counterparty can also be a natural person)
normalized.privaciu-interesu-deklaracija.rysiai-su-juridiniais-asmenimis[].rysio-pabaigos-data	419	6	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.rysiai-su-juridiniais-asmenimis[].rysio-pobudis	6981	10	none	technical	ship	a selector or category: whose entry it is, what kind
normalized.privaciu-interesu-deklaracija.rysiai-su-juridiniais-asmenimis[].rysio-pradzios-data	6981	10	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.rysiai-sudarius-sandorius[].kieno-sandoris	2594	10	none	technical	ship	a selector or category: whose entry it is, what kind
normalized.privaciu-interesu-deklaracija.rysiai-sudarius-sandorius[].kita-sandorio-salis	2594	10	third-party	organisation	ship	the legal person or place named in the entry (a counterparty can also be a natural person)
normalized.privaciu-interesu-deklaracija.rysiai-sudarius-sandorius[].kitos-sandorio-salies-pavadinimas	2594	10	third-party	organisation	ship	the legal person or place named in the entry (a counterparty can also be a natural person)
normalized.privaciu-interesu-deklaracija.rysiai-sudarius-sandorius[].pabaigos-data	599	6	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.rysiai-sudarius-sandorius[].sandorio-rusis	2594	10	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.rysiai-sudarius-sandorius[].sudarymo-data	2594	10	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.sutuoktinio-darbovietes[].darbdavys	8180	10	family	biographical	ship	the spouse's or partner's employer and position
normalized.privaciu-interesu-deklaracija.sutuoktinio-darbovietes[].darboviete	7023	5	family	biographical	ship	the spouse's or partner's employer and position
normalized.privaciu-interesu-deklaracija.sutuoktinio-darbovietes[].juridinio-asmens-kodas	7407	10	family	biographical	ship	the spouse's or partner's employer and position
normalized.privaciu-interesu-deklaracija.sutuoktinio-darbovietes[].juridinio-asmens-teisine-forma	7407	10	family	biographical	ship	the spouse's or partner's employer and position
normalized.privaciu-interesu-deklaracija.sutuoktinio-darbovietes[].pareigos	8180	10	family	biographical	ship	the spouse's or partner's employer and position
normalized.privaciu-interesu-deklaracija.sutuoktinio-darbovietes[].pareigu-pobudis	8180	10	family	biographical	ship	the spouse's or partner's employer and position
normalized.privaciu-interesu-deklaracija.sutuoktinio-darbovietes[].pavadinimas	8180	10	family	biographical	ship	the spouse's or partner's employer and position
normalized.privaciu-interesu-deklaracija.sutuoktinio-darbovietes[].registracijos-salis	7533	10	family	biographical	ship	the spouse's or partner's employer and position
normalized.privaciu-interesu-deklaracija.sutuoktinio-darbovietes[].rysio-pradzios-data	8180	10	family	biographical	ship	the spouse's or partner's employer and position
normalized.privaciu-interesu-deklaracija.sutuoktinis-sugyventinis-ar-partneris	15908	10	family	biographical	ship	the spouse's or partner's employer and position
normalized.privaciu-interesu-deklaracija.v-gautos-dovanos[].dovanojusio-fizinio-asmens-vardas-pavarde-dovanojusio-juridinio-asmens-pavadinimas	176	3	third-party	identifying	ship	a natural person named in the declaration: a relative, a counterparty, a gift giver, a source of a possible conflict
normalized.privaciu-interesu-deklaracija.v-gautos-dovanos[].dovanos-aprasymas	176	3	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.v-gautos-dovanos[].dovanos-gavimo-data	176	3	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.v-gautos-dovanos[].dovanos-vertes-litais-kodas	176	3	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.v-gautos-dovanos[].suma-skaiciais	176	3	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.v-gautos-dovanos[].suma-zodziais	176	3	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.v-gautos-dovanos[].tipas	176	3	none	technical	ship	a selector or category: whose entry it is, what kind
normalized.privaciu-interesu-deklaracija.v-turtines-prievoles[].isipareigojimo-data	4847	3	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.v-turtines-prievoles[].juridinio-asmens-pavadinimas	4847	3	third-party	organisation	ship	the legal person or place named in the entry (a counterparty can also be a natural person)
normalized.privaciu-interesu-deklaracija.v-turtines-prievoles[].tipas	4847	3	none	technical	ship	a selector or category: whose entry it is, what kind
normalized.privaciu-interesu-deklaracija.vi-individualios-imones-kitos-organizacijos-ir-istaigos[].pagrindines-veiklos	2211	3	candidate	biographical	ship	the declarant's employers, positions, memberships and activities
normalized.privaciu-interesu-deklaracija.vi-individualios-imones-kitos-organizacijos-ir-istaigos[].pavadinimas	2211	3	third-party	organisation	ship	the legal person or place named in the entry (a counterparty can also be a natural person)
normalized.privaciu-interesu-deklaracija.vi-individualios-imones-kitos-organizacijos-ir-istaigos[].tipas	2211	3	none	technical	ship	a selector or category: whose entry it is, what kind
normalized.privaciu-interesu-deklaracija.vi-neatlygintinai-suteiktos-paslaugos-ar-apmoketos-islaidos[].paslauga-suteikusio-ar-apmokejusio-islaidas-fizinio-ar-juridinio-asmens-vardas-pavarde-ar-pavadinimas	26	2	third-party	identifying	ship	a natural person named in the declaration: a relative, a counterparty, a gift giver, a source of a possible conflict
normalized.privaciu-interesu-deklaracija.vi-neatlygintinai-suteiktos-paslaugos-ar-apmoketos-islaidos[].paslaugos-ar-apmoketu-islaidu-aprasymas	26	2	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.vi-neatlygintinai-suteiktos-paslaugos-ar-apmoketos-islaidos[].paslaugos-gavimo-data	26	2	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.vi-neatlygintinai-suteiktos-paslaugos-ar-apmoketos-islaidos[].paslaugos-vertes-litais-kodas	26	2	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.vi-neatlygintinai-suteiktos-paslaugos-ar-apmoketos-islaidos[].suma-skaiciais	26	2	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.vi-neatlygintinai-suteiktos-paslaugos-ar-apmoketos-islaidos[].suma-zodziais	26	2	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.vi-neatlygintinai-suteiktos-paslaugos-ar-apmoketos-islaidos[].tipas	26	2	none	technical	ship	a selector or category: whose entry it is, what kind
normalized.privaciu-interesu-deklaracija.vii-gautos-dovanos[].data	108	3	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.vii-gautos-dovanos[].dovana	108	3	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.vii-gautos-dovanos[].dovanojusiojo-asmens-pavadinimas	108	3	third-party	organisation	ship	the legal person or place named in the entry (a counterparty can also be a natural person)
normalized.privaciu-interesu-deklaracija.vii-gautos-dovanos[].tipas	108	3	none	technical	ship	a selector or category: whose entry it is, what kind
normalized.privaciu-interesu-deklaracija.vii-sandoriai[].asmens-atliktas-veiksmas-pirkimas-pardavimas-paskolos-gavimas-ar-kt	1854	5	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.vii-sandoriai[].fizinio-ar-juridinio-asmens-sandorio-salies-iu-vardas-pavarde-ar-pavadinimas	1854	5	third-party	identifying	ship	a natural person named in the declaration: a relative, a counterparty, a gift giver, a source of a possible conflict
normalized.privaciu-interesu-deklaracija.vii-sandoriai[].sandorio-objektas-ai	1854	5	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
normalized.privaciu-interesu-deklaracija.vii-sandoriai[].sandorio-sudarymo-data	1854	5	candidate	financial	ship	assets, income sources, securities, obligations, transactions, gifts and possible conflicts of interest
